愛	爱	ài	love, like, be fond of, be keen on, cherish, be apt to, affection, to be inclined (to do sth)
愛好	爱好	àihào	love, like, be fond of, be keen on
八	八	bā	det.: eight, 8
爸爸	爸爸	bàbà	old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa
吧	吧	ba	particle: used to show mild imperative or uncertainty, (modal particle indicating suggestion or surmise), ...right?
白	白	bái	white, clear, pure, plain, wrongly written/mispronounced, bright, to make clear, free of charge, reactionary, anti-communist, funeral, to write wrong character, spoken lines in opera
白天	白天	bái tiān	daytime, during the day, day, CL:個|个[ge4]
百	百	bǎi	cent, centum, century, hundred, det.: hundred, numerous, all kinds of
班	班	bān	m.[event], team, class, squad, work shift, ranking, classifier for groups
半	半	bàn	det.: half, semi-, incomplete, (after a number) and a half
半年	半年	bàn nián	half a year
半天	半天	bàn tiān	half of the day, a long time, quite a while, midair, CL:個|个[ge4]
幫	帮	bāng	help, to assist, to support, for sb (i.e. as a help), hired (as worker), side (of pail, boat etc), outer layer, gang, clique, secret society
幫忙	帮忙	bāngmáng	assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn
包	包	bāo	wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee, to cover, to contract (to or for), package, to hold or embrace
包子	包子	bāo zi	steamed stuffed bun, CL:個|个[ge4]
杯	杯	bēi	m.[container], cup, trophy cup, classifier for certain containers of liquids: glass, cup
杯子	杯子	bēizi5	tumbler, drinking glass, cup, glass
北	北	běi	atomic number 97, northward, north, berkelium, Bk, northern, to be defeated (classical)
北邊	北边	běi biān	north, north side, northern part, to the north of
北京	北京	běijīng	capital of Red China, Beijing, Peking, Beijing (Peking), Peiping
本	本	běn	det.: this, root, stem, origin, source, the current, classifier for books, periodicals, files etc, roots or stems of plants, foundation
本子	本子	běn zi	book, notebook, edition, CL:本[ben3]
比	比	bǐ	compared with, (particle used for comparison and “-er than”), to gesture (with hands)
別	别	bié	don’t, to leave, to distinguish, to classify, to stick (sth) in
別的	别的	bié de	else, other
別人	别人	biérén	others, other people, another person
病	病	bìng	disease, illness, to fall ill, defect
病人	病人	bìngrén	shut-in, patient, subject, sufferer, case, valetudinarian, invalid
不大	不大	bùdà	not very/too, not often
不對	不对	bù duì	incorrect, wrong, amiss, abnormal, queer
不客氣	不客气	bù kè qi	you’re welcome, don’t mention it, impolite, rude, blunt
不用	不用	búyòng	need not
不	不	bù	non, do not, no, nowise, not, nope, nae, no more, nix, (negative prefix)
菜	菜	cài	vegetable, greens, dish, course, food, dish (type of food), (coll.) (one’s) type, (of one’s skills etc) weak, CL:盤|盘, 道[dào]
茶	茶	chá	tea, tea plant, CL:杯, 壺|壶[hú]
差	差	chā	be short, lack
常	常	cháng	often, usually, frequently, always, ever, common, general, constant
常常	常常	chángcháng	oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually
唱	唱	chàng	cry, chant, chirm, tune, vocalize, call, sing, to call loudly
唱歌	唱歌	chànggē	sing
車	车	chē	vehicle, car, machine, to shape with a lathe
車票	车票	chēpiào	ticket (for train/bus)
車上	车上	chēshàng	Car
車站	车站	chēzhàn	station
吃	吃	chī	feed, have, be subject to, absorb, chow, live on, eat, have one’s meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up, to eat at (a cafeteria etc), to stammer (Taiwan pr. for this sense is [jí])
吃飯	吃饭	chīfàn	feed, dine, make a living, keep alive, have a meal, eat
出	出	chū	produce, turn out, arise, happen, to come out, to put forth, (used after a verb to indicate an outward direction or a positive result), classifier for dramas, plays, operas etc
