晚饭前，他吃了一些饼干。	wǎnfàn qián tā chī le yīxiē bǐnggān	He had some biscuits before the dinner.	4
她会说日语和英语。	tā huì shuō Rìyǔ hé Yīngyǔ	She can speak Japanese as well as English.	4
今天暖和一点儿了。	jīntiān nuǎnhuo yīdiǎnr le	The weather is a bit warmer today.	4
我没有意识到。	wǒ méiyǒu yìshí dào	I wasn’t aware of that.	4
杏色衣服很好看。	xìng sè yīfu hěn hǎokàn	The apricot coloured clothes look beautiful.	4
他到那里喝一瓶汽水和吃一块汉堡面包。	tā dào nàli hē yī píng qìshuǐ hé chī yīkuài hànbǎo miànbāo	He go there to drink a soda and eat a hamburger.	4
你到美国是坐船还是坐飞机？	nǐ dào Měiguó shì zuò chuán háishi zuòfēijī	Are you going to America by boat or by plane?	4
我喜欢在闲暇时打羽毛球。	wǒ xǐhuan zài xiánxiá shí dǎ yǔmáoqiú	I like to play badminton in my spare time.	4
这个房间是用红色和棕色装饰的暖色调。	zhège fángjiān shì yòng hóngsè hé zōngsè zhuāngshì de nuǎn sèdiào	The room was furnished in warm reds and browns.	4
有人在窃听我的电话。	yǒurén zài qiètīng wǒ de diànhuà	My phone is being tapped.	4
这里谁负责？	zhèlǐ shéi fùzé	Who is in charge here?	4
鹿的斑点是黄色的。	lù de bāndiǎn shì huángsè de	The dapple of the deer is yellow.	4
他尽管有病，还是可以上课。	tā jǐnguǎn yǒu bìng háishi kěyǐ shàngkè	He is not so sick but he can attend a class.	4
房间是用深浅不一的蓝色粉刷的。	fángjiān shì yòng shēnqiǎn bùyī de lánsè fěnshuā de	The room was painted in various shades of blue.	4
晚饭我请客。	wǎnfàn wǒ qǐngkè	Dinner is on me.	4
老一辈的各类人都在那里。	lǎoyībèi de gèlèi rén dōu zài nàli	Many representatives of the older generation were there.	4
我有一件红色的有羊毛衬里的运动服。	wǒ yǒu yī jiàn hóngsè de yǒu yángmáo chènlǐ de yùndòngfú	I have a red tracksuit with fleecy lining.	4
半夜三更的，你起来干什么？	bànyèsāngēng de nǐ qilai gànshénme	Why are you getting up in the middle of the night?	4
你应该更用功念书。	nǐ yīnggāi gèng yònggōng niànshū	You should study harder and harder.	4
他们到酒店喝了一品脱的啤酒。	tāmen dào jiǔdiàn hē le yīpǐn tuō de píjiǔ	They stopped at the pub for a pint.	4
学英文是值得的。	xué Yīngwén shì zhíde de	It is worth while to learn English.	4
她推迟到星期六启程。	tā tuī chídào Xīngqīliù qǐchéng	He put off his departure till Saturday.	4
今天的天气已露出了一丝秋天的气息。	jīntiān de tiānqì yǐ lùchū le yī sī qiūtiān de qìxī	There is a breath of autumn in the air today.	4
听我说－－他背着他的亲友们溜走了。	tīng wǒ shuō tā bèi zhe tā de qīnyǒu men liūzǒu le	Mind what I say-he has given his relatives the slip.	4
